Concept,Concept_Frequency,E_mean,P_mean,A_mean,E_sd,P_sd,A_sd
being irritable is,94,-2.141489355,-1.023404255,0.96914893,1.079367554,1.55987493,1.508900226
being irritating is,101,-2.53762376,-0.531683165,1.802970287,1.141126766,1.625111114,1.38307306
being jittery is,102,-1.626470584,-1.252941176,1.587254894,1.157320774,1.278900044,1.443776095
being kind is,104,3.472115382,2.530769227,0.024999998,0.646943042,1.268366205,1.519501055
being kindly is,106,3.206603778,2.083962264,0.175238093,0.950816087,1.414088082,1.701909608
being knowledgable is,135,3.261481468,2.649629629,0.021481482,0.694110107,0.955258358,1.606488018
being lazy is,106,-2.151886787,-2.228301879,-3.083962256,1.164493031,1.314081591,0.884591572
being lenient is,104,1.189423072,0.532692308,-0.99326923,1.37077104,1.426887598,1.146397009
being light hearted is,101,2.252475246,0.693069306,0.212871284,1.248166186,1.50620432,1.516618823
being lively is,103,2.33689319,1.786407762,2.720388335,1.082661054,1.093389091,1.058148519
being lost is,90,-2.449999997,-2.252222211,-0.39,1.079039317,1.523908902,1.733739871
being loved is,102,3.574509803,2.861764704,0.291176468,0.643272326,1.187562949,1.807635227
being lower class is,96,-1.365624995,-2.198958322,-0.689583332,1.261480176,1.367556002,1.513620898
being loyal is,104,3.076923067,2.110576922,-0.055769235,0.889445205,1.349715415,1.631416497
being lucky is,101,2.818811877,1.380198022,0.531683165,0.958406276,1.625178131,1.672957305
being male is,95,1.495789465,1.40526316,1.372631572,1.51080616,1.323869925,1.221216873
being malicious is,102,-3.170297036,0.489215687,1.14999999,0.985854412,1.891717573,1.544889365
being maniacal is,99,-2.647474731,0.606060609,2.627272714,1.092865866,1.771418086,1.112619463
being manipulative is,99,-2.740404029,0.712121207,0.549494948,0.973204174,2.173132448,1.762093703
being married is,98,1.640816323,0.993877553,0.653061215,1.872637301,1.616335193,1.661771753
being masculine is,88,1.180681817,1.924999995,1.431818175,1.423195197,1.282172188,1.128476279
being mature is,98,2.807142855,1.935714283,-0.679591833,1.213519214,1.396848448,1.536629002
being mean is,100,-3.203999999,0.196,1.509999994,1.021873904,2.180673595,1.535801698
being mediocre is,134,-1.233582089,-1.6164179,-1.382089553,1.448667734,1.211796277,1.234397406
being meek is,100,-0.373737377,-2.116999991,-2.412000004,1.92918434,1.593487691,1.377545763
being melancholy is,93,-1.221505371,-1.558064504,-2.281720424,1.80932664,1.395982002,1.252471141
being mentally ill is,95,-2.041052618,-2.083157882,-0.428421049,1.360342156,1.45431512,1.741829746
being mentally retarded is,91,-1.77582417,-2.047252735,-1.164835159,1.41596772,1.550938107,1.593066475
being merry is,101,2.785148504,1.515841581,1.899999998,0.928588837,1.231075357,1.160689452
being messy is,88,-1.574999998,-0.785227269,-0.029545453,1.094106463,1.216131015,1.685513595
being methodical is,115,1.954782595,1.424347824,-1.010526311,1.0934609,1.062733259,1.512623485
being middle aged is,135,0.727407402,0.36074074,-0.495555554,1.206043828,1.281271306,1.107495935
being middle class is,91,1.417582411,0.348351644,0.511111108,1.068081693,1.187935891,1.241550715
being mischievous is,103,-1.066990292,0.342718443,1.136893193,1.44943453,1.241488823,1.508342175
being miserly is,92,-1.682608693,-1.056521724,-1.213043477,1.713720237,1.742506986,1.422443139
being mocking is,101,-2.595049496,-0.506930692,1.389108906,0.927402423,1.852525705,1.367325921
being model is,102,1.720588222,1.260784306,0.56470588,1.151609993,1.065587438,1.264805145
being modern is,100,1.432999995,0.975999997,1.466999992,1.348928112,1.269066305,1.260836257
being modest is,103,2.261165039,0.673786408,-1.284466012,1.132863197,1.569311149,1.623102648
being moody is,98,-1.75102041,-1.234693876,-0.163265308,1.136756545,1.297587138,1.731538117
being motivated is,95,3.151578941,2.48947368,2.055789458,0.783590103,1.059252418,1.12870814
being naive is,102,-1.299019596,-1.840196072,-1.143137248,1.294733809,1.103842058,1.197398976
being narrowminded is,97,-2.846391745,-2.143298966,-1.137113403,1.224239718,1.42915383,1.674833299
being nasty is,100,-3.128999992,-0.360999995,1.402999988,0.757227137,2.125216314,1.595540182
being neighborly,105,2.829523793,1.417142851,0.646666663,0.781999878,1.128175613,1.27649359
being neurotic is,99,-1.890909094,-1.360606052,1.321212126,1.203573841,1.309371097,1.491012037
being nice is,102,3.357843137,1.918627446,0.336274507,0.748256899,1.339183315,1.460692169
being noble is,98,2.798979578,1.903061231,0.192857141,0.981004634,1.365287939,1.377226401
being noisy is,88,-0.792045451,0.867045451,2.993181816,1.14693209,1.171669556,1.147590727
being nonchalant is,102,0.637254899,0.006862746,-1.773529418,1.369969391,1.316179563,1.235203643
being nosey is,98,-1.960204075,-0.509278346,0.571428566,1.146283981,1.544957011,1.861160263
being obedient is,103,0.882524272,-0.70582524,-0.848543687,1.732867234,1.979939848,1.697972493
being oblivious is,93,-2.016129032,-1.881720419,-1.37741935,1.405524066,1.596391734,1.581010209
being obnoxious is,92,-2.611956513,-0.338043478,2.108695638,1.290186322,1.997572279,1.528962305
being obsessive compulsive is,115,-1.891304342,-1.153913039,1.202608692,1.106326719,1.727298215,1.696614826
being obstinate is,77,-1.123376623,0.501298697,-0.268831167,1.536134597,1.475010563,1.732830032
being odd is,98,0.73367347,-0.046938773,0.242857141,1.370675494,1.31346744,1.313215921
being offensive is,100,-2.572999999,0.110999995,2.101999993,1.266176545,1.985243282,1.257219956
being old fashioned is,94,0.858510634,0.018279571,-1.281914895,1.631043569,1.359023479,1.398152603
being old is,98,-0.447959181,-1.132653058,-1.846938765,1.44844243,1.326010641,1.049222003
being open is,102,2.075490189,1.420588231,0.468627448,1.244428078,1.277477264,1.420150612
being open minded is,102,2.945098033,2.160784311,0.079411764,0.965711916,1.291492108,1.592267083
being opportunistic is,98,1.14183673,1.488775507,1.84081632,1.869777174,1.371573148,1.089106007
being optimistic is,101,2.829702967,1.84950495,0.628712863,0.986564211,1.349786922,1.479955172
being ordinary is,100,0.254,-0.778999992,-0.873999998,1.451813216,1.222292505,1.197355666
being organized is,95,2.834736844,1.801052625,0.148421051,1.213905983,1.125099967,1.548084825
being original is,92,2.89565217,2.148913038,1.216304341,0.977203123,1.490002925,1.328907432
being ostentatious is,78,-1.02236842,0.423684207,1.564102561,1.465205213,1.458206053,1.525793328
being outgoing is,93,1.864516126,1.747311822,2.322580641,1.450610455,1.307552586,1.38211629
being outspoken is,100,1.063999992,1.585999996,2.046999987,1.242229981,1.169565226,1.354786127
being overbearing is,88,-2.204545437,1.34772727,1.719318174,0.882903917,1.397861849,1.466237487
being overconfident is,115,-1.091304349,0.626086955,1.496521731,1.649591398,1.63165435,1.299387869
being passive is,101,-0.563366337,-1.626732664,-2.340594056,1.198726214,1.374255508,1.249334083
being patient is,103,2.955339807,1.248543685,-2.125242715,0.925745935,1.654397819,1.245833724
being peaceful is,101,3.191089096,1.579207923,-1.960396038,0.851950591,1.814073699,1.778486949
being pensive is,94,0.516129033,-0.34255319,-1.74042553,1.558796242,1.685197359,1.63209208
being perceptive is,100,2.803999991,1.862,-0.501999998,0.906532977,1.19508928,1.714111363
being permissive is,88,-0.048863633,-0.562499999,-0.836363631,1.200095241,1.565086929,1.440959274
being persecuted is,101,-3.138613856,-1.40198019,1.070297021,0.994280669,2.299781736,1.640277077
being persistent is,96,1.97499999,1.659374992,2.031249987,1.191460844,1.218331732,1.20414306
being persuasive is,102,1.65196078,1.98137254,1.350980384,1.157047316,1.016373902,1.006980093
being pessimistic is,92,-2.115217391,-1.31195652,-1.069565219,1.475807457,1.84592467,1.758354571
being petty is,104,-2.072115377,-1.474038453,-0.066346156,1.602634766,1.49782983,1.548291294
being phobic is,103,-2.19029125,-1.933009695,-0.183333334,1.17744443,1.749811661,1.760011438
being pitiful is,97,-2.192783506,-2.312371126,-1.732989689,1.170046957,1.295364949,1.338120701
being placid is,93,0.334408603,-0.646236559,-2.327956989,1.642803439,1.624845085,1.225487094
being plain is,105,-0.200952383,-0.960952377,-1.453333323,1.123909323,1.148535455,1.407675838
being playful is,102,2.346078414,1.076470591,2.096078418,0.995203502,1.122600984,1.044165454
being poised is,100,2.308999989,1.517999998,-0.792999997,1.303382937,1.281127977,1.456386498
being polite is,88,3.106818177,1.631818175,-0.578409087,0.788246344,1.430098896,1.390728644
being pompous is,99,-2.245454547,-0.053535352,1.760204073,1.065246238,1.697014971,1.273176054
being poor is,104,-2.368269231,-2.72403845,-1.272115381,1.326596085,1.178817507,1.564996762
being popular is,101,1.581188112,1.938613856,1.883168302,1.502445529,1.459449917,1.16525269
being possessive is,114,-1.729824559,0.026315794,0.810619461,1.465589363,1.990644157,1.510993204
being powerful is,100,1.975999993,3.490999997,1.784999997,1.307872043,0.933668231,1.636414837
being powerless is,90,-2.889999996,-3.43222222,-2.094444441,1.011290205,1.285863304,1.551393806
being practical is,103,2.503883478,1.411764701,-0.197087375,1.156814618,1.39718913,1.591919315
being prejudiced is,100,-3.028000004,-0.737,0.575999999,1.122864314,2.250057458,1.9633058
being preoccupied is,115,-0.799130431,-0.582608691,-0.368695651,1.135742717,1.425104531,1.756460013
being presumptuous is,96,-1.472916661,-0.166666664,0.717708329,1.304363461,1.490013538,1.307950963
being pretty is,100,2.269999989,1.548999991,0.159999996,1.154306822,1.423716502,1.517440684
being principled is,98,2.636734685,1.796938773,0.088775511,1.229985147,1.503909272,1.61372225
being promiscuous is,101,-1.439603962,-0.159405939,1.387128707,1.70974146,1.677031792,1.344816963
being provocative is,98,0.253061223,0.997938138,1.567010305,1.860007984,1.349149367,1.430597309
being psychotic is,106,-3.029245288,-0.508490567,2.05943394,1.016995303,1.965275596,1.257418232
being quarrelsome is,101,-2.234653457,-0.15247525,2.069306923,1.132204544,1.764459916,1.265206902
being quiet is,105,1.001904759,-0.526666665,-3.133333333,1.342499166,1.655948871,1.069027839
being rational is,100,2.867999988,1.85,-0.278999999,1.120955587,1.289076088,1.411804128
being raunchy is,101,-1.399009898,-0.011,1.559405932,1.402033887,1.298397991,1.300398249
being reasonable is,91,3.068131858,1.892307682,-0.150549453,0.74950045,1.102344035,1.351161933
being rebellious is,101,-0.298019806,1.012871287,2.126732666,1.709677173,1.387635642,1.185655184
being reckless is,115,-2.316521731,-0.010434779,2.318260854,1.30073734,1.705480007,1.010001099
being reclusive is,89,-0.906741567,-1.465168525,-2.313483137,1.385788067,1.411567552,1.22067334
being refined is,107,2.110280361,1.337735844,-0.838679243,1.131282005,1.321863959,1.585383872
being rejected is,93,-2.626881735,-1.260215044,-0.176344086,1.223336479,2.466476966,1.836193947
being relaxed is,114,2.923684204,0.649999997,-2.708771917,0.858203802,1.772915694,1.022192798
being relentless is,113,0.299999998,1.535398225,1.948672553,1.828201691,1.52754005,1.201644335
being reliable is,90,3.312222224,2.324444453,0.83777778,0.673215964,1.025112888,1.480933336
being religious is,102,0.453921566,0.354901962,-0.04019608,1.792485496,1.806020038,1.593567494
being reserved is,104,0.996153841,-0.106730768,-2.162499998,1.264367759,1.308394431,1.099972417
being resigned is,133,-0.701503755,-1.319548867,-1.48721804,1.477199687,1.52471848,1.403481254
being resourceful is,91,3.119780203,2.331868128,1.18571428,0.676793066,1.045825472,1.464890701
being respectful is,100,3.120999991,2.045999995,-0.805999994,0.92247965,1.33306209,1.716987025
being responsible is,98,3.134693876,2.247959177,0.709183672,0.881786157,1.047749634,1.511883281
being restless is,102,-1.186274508,-0.651960782,1.000980383,1.314280983,1.369883301,2.010492039
being revengeful is,91,-2.434065926,0.313333333,1.203333335,1.441081365,2.089040416,1.568829091
being rich is,97,1.908247419,2.568041235,1.249484525,1.372927992,1.286431308,1.553297809
being rigid is,101,-1.290099008,-0.395049501,-0.651485149,1.244709199,1.631157636,1.575602349
being romantic is,94,2.718085099,1.81808511,0.357446806,1.063162541,1.270336744,1.713105038
being rude is,103,-2.925242709,-0.511650484,1.739805818,1.197605335,2.0849743,1.740258024
being rueful is,86,-0.79186046,-0.409302328,-0.641860468,1.748627362,1.243205333,1.535115637
being ruthless is,114,-2.05087719,1.512280701,1.56017698,1.581320476,1.842859471,1.501757278
being sadistic is,103,-3.082524262,0.411650481,0.909708724,1.227577497,2.170628398,1.707854657
being saintly is,113,2.790265487,1.714159295,-0.547787613,1.40946828,1.474053407,1.590771233
